R, G, B
3967, 4855, 5411
4018, 4928, 5484
4019, 4936, 5496
4004, 4924, 5482
4027, 4944, 5508
4081, 4998, 5546
4130, 5055, 5606
4123, 5052, 5605
4110, 5039, 5597
4112, 5042, 5604
4149, 5083, 5651
4142, 5073, 5643
4121, 5049, 5616
4080, 4995, 5567
4081, 4994, 5565
4088, 4998, 5576
4120, 5031, 5606
4106, 5020, 5591
4097, 5008, 5574
4111, 5025, 5599
4127, 5051, 5626
4120, 5042, 5621
4117, 5046, 5619
4091, 5025, 5598
4079, 5017, 5581
4076, 5014, 5575
4083, 5024, 5584
4125, 5065, 5634
4191, 5136, 5707
4225, 5186, 5762
4225, 5187, 5769
4199, 5158, 5748
4247, 5215, 5808
4258, 5231, 5823
4208, 5176, 5762
4224, 5178, 5763
4255, 5209, 5798
4237, 5181, 5769
4240, 5183, 5766
4255, 5199, 5781
4281, 5233, 5815
4290, 5238, 5821
4296, 5226, 5817
4286, 5212, 5816
4318, 5237, 5844
4346, 5262, 5873
4356, 5268, 5879
4388, 5301, 5905
4427, 5344, 5939
4441, 5361, 5960
4460, 5377, 5982
4382, 5297, 5900
4329, 5244, 5847
4310, 5224, 5839
4320, 5234, 5845
4346, 5275, 5880
4344, 5289, 5888
4329, 5286, 5881
4339, 5304, 5899
4303, 5267, 5867
4342, 5310, 5911
4348, 5327, 5937
4356, 5324, 5939
4371, 5330, 5952
4394, 5358, 5988
4406, 5373, 6012
4456, 5425, 6072
4464, 5425, 6079
4471, 5439, 6093
4449, 5411, 6054
4455, 5417, 6059
4504, 5468, 6105
4515, 5482, 6107
4526, 5504, 6118
4537, 5529, 6139
4506, 5511, 6118
4457, 5467, 6071
4456, 5455, 6062
4453, 5453, 6061
4421, 5420, 6028
4395, 5385, 5993
4421, 5409, 6013
4447, 5427, 6028
4450, 5425, 6024
4407, 5366, 5965
4369, 5301, 5923
4386, 5316, 5941
4452, 5377, 6005
4509, 5443, 6070
4528, 5464, 6092
4546, 5488, 6114
4563, 5509, 6129
4563, 5514, 6126
4544, 5517, 6117
4616, 5597, 6199
4669, 5659, 6257
4699, 5696, 6290
4702, 5699, 6296
4679, 5680, 6281
4665, 5671, 6272
4657, 5664, 6267
4669, 5683, 6293
4671, 5690, 6309
4619, 5652, 6269
4565, 5601, 6222
4474, 5511, 6130
4450, 5490, 6106
4439, 5472, 6089
4448, 5471, 6090
4458, 5455, 6092
4457, 5448, 6081
4525, 5504, 6139
4624, 5597, 6231
4599, 5565, 6194
4580, 5538, 6157
4595, 5557, 6170
4637, 5596, 6207
4701, 5669, 6272
4738, 5719, 6325
4717, 5714, 6318
4725, 5737, 6328
4700, 5718, 6304
4668, 5687, 6271
4658, 5678, 6266
4666, 5694, 6284
4686, 5727, 6339
4683, 5725, 6336
4630, 5670, 6286
4604, 5640, 6261
4583, 5612, 6236
4602, 5626, 6266
4609, 5634, 6275
4557, 5572, 6213
4521, 5534, 6169
4540, 5560, 6197
4550, 5571, 6209
4540, 5562, 6196
4570, 5599, 6230
4616, 5641, 6275
4641, 5665, 6287
4663, 5683, 6296
4672, 5679, 6291
4721, 5736, 6350
4713, 5733, 6343
4710, 5733, 6335
4777, 5796, 6401
4835, 5854, 6457
4865, 5873, 6473
4875, 5882, 6475
4883, 5891, 6492
4893, 5909, 6508
4874, 5892, 6484
4821, 5842, 6436
4752, 5771, 6371
4720, 5743, 6344
4658, 5674, 6277
4622, 5634, 6237
4611, 5616, 6226
4604, 5601, 6206
4584, 5577, 6177
4639, 5635, 6228
4630, 5623, 6217
4568, 5557, 6147
4554, 5552, 6139
4556, 5563, 6150
4627, 5635, 6228
4676, 5696, 6294
4751, 5782, 6382
4810, 5845, 6442
4836, 5866, 6462
4858, 5887, 6484
4866, 5890, 6488
4917, 5946, 6542
4934, 5962, 6563
4895, 5916, 6516
4876, 5898, 6495
4864, 5882, 6483
4886, 5905, 6495
4928, 5948, 6524
4928, 5957, 6521
4965, 6004, 6570
5015, 6063, 6629
5037, 6086, 6657
5017, 6061, 6634
5053, 6103, 6676
5093, 6145, 6722
5180, 6228, 6819
5164, 6206, 6800
5124, 6156, 6746
5115, 6158, 6742
5112, 6154, 6738
5105, 6148, 6737
