R, G, B
6750, 7502, 7965
6764, 7518, 7982
6772, 7533, 7995
6677, 7438, 7894
6676, 7439, 7900
6724, 7486, 7945
6688, 7443, 7900
6740, 7500, 7963
6792, 7552, 8019
6745, 7503, 7962
6709, 7458, 7912
6715, 7471, 7919
6700, 7457, 7902
6643, 7403, 7833
6599, 7359, 7788
6627, 7394, 7819
6626, 7386, 7821
6681, 7444, 7882
6705, 7476, 7914
6738, 7510, 7946
6790, 7566, 7997
6932, 7714, 8144
6911, 7686, 8114
6774, 7539, 7961
6730, 7496, 7919
6810, 7580, 8002
6769, 7524, 7940
6699, 7438, 7856
6654, 7384, 7804
6728, 7457, 7886
6730, 7462, 7892
6517, 7226, 7643
6448, 7154, 7573
6580, 7297, 7720
6590, 7313, 7736
6474, 7190, 7613
6582, 7303, 7723
6589, 7312, 7730
6796, 7531, 7960
6875, 7611, 8041
6844, 7578, 8005
6830, 7565, 7986
6707, 7437, 7850
6680, 7408, 7813
6568, 7283, 7679
6592, 7313, 7711
6602, 7327, 7718
6580, 7303, 7691
6617, 7348, 7742
6591, 7321, 7717
6492, 7215, 7612
6581, 7310, 7704
6653, 7384, 7777
6703, 7441, 7830
6746, 7490, 7879
6826, 7575, 7960
6971, 7729, 8120
7014, 7775, 8167
7017, 7778, 8174
6996, 7764, 8150
6933, 7692, 8074
6848, 7594, 7980
6831, 7565, 7957
6792, 7522, 7913
6881, 7612, 8005
7035, 7774, 8161
6964, 7699, 8072
6816, 7543, 7912
6790, 7504, 7878
6958, 7677, 8061
7047, 7774, 8156
7043, 7771, 8150
7069, 7805, 8180
7150, 7891, 8266
7081, 7822, 8191
7021, 7762, 8131
6973, 7715, 8080
6747, 7476, 7841
6725, 7446, 7814
6824, 7543, 7910
6739, 7457, 7821
6655, 7373, 7739
6711, 7444, 7808
6659, 7398, 7763
6590, 7335, 7693
6671, 7420, 7779
6695, 7446, 7802
6756, 7494, 7859
6745, 7484, 7855
6723, 7459, 7831
6694, 7431, 7804
6650, 7390, 7758
6665, 7404, 7768
6576, 7310, 7675
6549, 7282, 7660
6636, 7373, 7747
6763, 7509, 7885
6883, 7617, 7991
6850, 7589, 7969
6805, 7544, 7922
6599, 7327, 7697
6596, 7321, 7690
6760, 7495, 7876
6841, 7578, 7956
6797, 7532, 7906
6801, 7536, 7911
6777, 7515, 7887
6838, 7578, 7946
6812, 7552, 7924
6753, 7488, 7866
6687, 7416, 7801
6759, 7495, 7880
6719, 7451, 7842
6706, 7428, 7815
6719, 7437, 7820
6748, 7476, 7869
6842, 7578, 7974
7023, 7787, 8176
6941, 7687, 8075
6816, 7545, 7931
6719, 7440, 7825
6717, 7433, 7825
6727, 7434, 7824
6727, 7433, 7820
6853, 7572, 7963
6888, 7611, 7995
7003, 7736, 8125
6953, 7686, 8075
6897, 7627, 8015
6883, 7606, 7991
6932, 7660, 8037
6910, 7643, 8023
6787, 7509, 7888
6798, 7523, 7897
6880, 7615, 7984
6861, 7603, 7966
6847, 7592, 7949
6824, 7575, 7920
6832, 7581, 7935
6845, 7586, 7949
6846, 7585, 7949
6949, 7685, 8053
7115, 7862, 8224
7079, 7829, 8193
6986, 7733, 8088
7004, 7750, 8106
6921, 7665, 8021
6768, 7484, 7849
6792, 7504, 7871
6900, 7620, 7991
6770, 7480, 7855
6755, 7459, 7834
6704, 7410, 7784
6666, 7376, 7752
6739, 7451, 7825
6761, 7479, 7854
6722, 7432, 7809
6706, 7421, 7805
6863, 7596, 7987
6985, 7720, 8120
7066, 7805, 8211
6970, 7708, 8109
6864, 7593, 7985
6888, 7618, 8008
6882, 7607, 7996
6863, 7585, 7971
6953, 7685, 8078
6976, 7720, 8113
7037, 7791, 8182
7071, 7823, 8218
6855, 7591, 7981
6718, 7444, 7842
6821, 7553, 7953
6940, 7671, 8078
6926, 7660, 8064
6937, 7676, 8080
6905, 7647, 8046
6923, 7667, 8066
6906, 7654, 8060
6926, 7679, 8088
6961, 7724, 8133
6907, 7673, 8083
6941, 7715, 8116
6976, 7757, 8158
6882, 7659, 8061
6979, 7751, 8172
6999, 7765, 8186
6930, 7697, 8120
6817, 7583, 8001
6756, 7521, 7936
6672, 7426, 7840
6629, 7371, 7790
6742, 7498, 7931
6753, 7509, 7942
6658, 7413, 7840
6662, 7420, 7848
6732, 7494, 7923
6730, 7489, 7914
6612, 7365, 7791
6706, 7464, 7901
6836, 7602, 8048
6834, 7595, 8041
6882, 7645, 8094
6889, 7646, 8091
6971, 7734, 8181
6957, 7712, 8160
6800, 7549, 7992
6727, 7474, 7915
6717, 7471, 7929
6725, 7477, 7940
6780, 7538, 8002
6815, 7574, 8042
6640, 7390, 7853
6555, 7299, 7752
6554, 7300, 7748
6518, 7267, 7712
6519, 7265, 7706
6588, 7331, 7779
6571, 7307, 7759
6588, 7327, 7785
6659, 7409, 7870
6633, 7382, 7832
6611, 7359, 7803
6726, 7488, 7945
6849, 7620, 8073
6856, 7629, 8073
6907, 7689, 8126
6835, 7609, 8044
6668, 7428, 7868
6621, 7380, 7819
6632, 7387, 7833
6558, 7301, 7749
6522, 7271, 7718
6499, 7247, 7691
6571, 7323, 7771
6581, 7326, 7779
6449, 7185, 7635
6433, 7163, 7613
6387, 7108, 7563
6347, 7058, 7515
6382, 7088, 7549
6376, 7077, 7534
6401, 7102, 7553
6429, 7136, 7594
6301, 7005, 7458
6333, 7043, 7495
6415, 7138, 7587
6467, 7196, 7651
6463, 7202, 7651
6575, 7322, 7780
6623, 7374, 7834
6587, 7335, 7792
6632, 7385, 7851
6663, 7422, 7892
6608, 7368, 7837
6601, 7366, 7828
6675, 7445, 7911
6684, 7450, 7921
6636, 7402, 7856
6700, 7467, 7923
6841, 7613, 8071
6854, 7625, 8074
6803, 7565, 8013
6751, 7508, 7957
6845, 7603, 8059
6901, 7664, 8114
6859, 7614, 8065
6743, 7485, 7933
6664, 7407, 7856
6704, 7455, 7913
6683, 7428, 7893
6618, 7358, 7823
6550, 7287, 7750
6454, 7187, 7645
6358, 7083, 7540
6349, 7076, 7539
6309, 7033, 7503
6298, 7023, 7495
6412, 7132, 7618
6379, 7096, 7591
6343, 7058, 7558
6319, 7043, 7542
6193, 6914, 7411
6158, 6880, 7376
6115, 6832, 7314
6126, 6849, 7335
6137, 6863, 7355
6125, 6852, 7349
6155, 6888, 7384
6211, 6950, 7451
6172, 6911, 7410
6228, 6977, 7484
6241, 6996, 7511
6326, 7085, 7596
6452, 7220, 7738
6627, 7408, 7933
6564, 7347, 7861
6576, 7358, 7865
6492, 7268, 7779
6277, 7043, 7550
6232, 6995, 7503
6192, 6959, 7478
6059, 6822, 7346
6067, 6827, 7354
6178, 6943, 7478
6090, 6856, 7394
5921, 6681, 7217
5856, 6614, 7149
5897, 6660, 7200
5867, 6637, 7180
5779, 6543, 7084
5717, 6484, 7028
5765, 6540, 7093
5696, 6460, 7015
5677, 6443, 7002
5644, 6411, 6974
5566, 6328, 6888
5606, 6366, 6924
5646, 6416, 6985
5620, 6399, 6971
5548, 6314, 6885
5512, 6270, 6839
5513, 6269, 6839
5586, 6349, 6924
5439, 6194, 6754
5486, 6239, 6798
5544, 6301, 6862
5436, 6187, 6741
5392, 6142, 6696
5392, 6146, 6697
5438, 6190, 6742
5527, 6281, 6828
5571, 6331, 6876
5445, 6199, 6735
5541, 6303, 6843
5602, 6359, 6902
5613, 6367, 6907
5613, 6363, 6906
5552, 6296, 6840
5605, 6363, 6913
5610, 6376, 6928
5517, 6282, 6830
5492, 6250, 6800
5509, 6266, 6816
5523, 6290, 6839
5593, 6372, 6924
5639, 6426, 6982
5648, 6426, 6979
5566, 6334, 6886
5490, 6253, 6807
5499, 6262, 6815
5529, 6290, 6857
5509, 6265, 6845
5414, 6158, 6736
5399, 6141, 6718
5394, 6135, 6713
5379, 6119, 6692
5436, 6187, 6760
5405, 6154, 6726
5359, 6103, 6682
5353, 6100, 6682
5335, 6084, 6664
5390, 6143, 6726
5353, 6115, 6702
5373, 6132, 6719
5365, 6120, 6709
5313, 6059, 6643
5272, 6014, 6596
5223, 5962, 6539
5152, 5871, 6450
5113, 5832, 6417
5262, 5993, 6583
5386, 6120, 6706
5402, 6136, 6719
5424, 6154, 6731
5417, 6145, 6723
5414, 6138, 6727
5297, 6018, 6606
5238, 5955, 6541
5327, 6033, 6612
5387, 6094, 6678
5256, 5949, 6529
5261, 5955, 6539
5241, 5936, 6520
5284, 5979, 6565
5307, 6001, 6586
5425, 6128, 6714
5373, 6076, 6660
5343, 6044, 6624
5203, 5894, 6464
5193, 5881, 6447
5186, 5876, 6446
5235, 5938, 6505
5307, 6014, 6580
5282, 5984, 6548
5318, 6019, 6576
5384, 6091, 6659
5481, 6190, 6761
5497, 6205, 6789
5448, 6141, 6727
5388, 6072, 6650
5435, 6121, 6701
5394, 6075, 6653
5179, 5845, 6401
5163, 5827, 6381
5268, 5941, 6497
5283, 5955, 6503
5318, 5993, 6543
5332, 6012, 6571
5435, 6113, 6669
5556, 6237, 6806
5509, 6186, 6763
5421, 6090, 6667
5409, 6076, 6647
5365, 6027, 6587
5308, 5963, 6515
5305, 5955, 6503
5296, 5944, 6494
5345, 5993, 6552
5337, 5985, 6549
5242, 5882, 6445
5177, 5815, 6375
5211, 5847, 6415
5137, 5764, 6329
5053, 5676, 6239
5094, 5724, 6301
5100, 5734, 6305
5102, 5736, 6307
5061, 5692, 6258
4976, 5604, 6165
5014, 5645, 6197
5020, 5641, 6192
4986, 5603, 6159
4909, 5523, 6081
4926, 5539, 6095
4928, 5545, 6103
4956, 5569, 6130
4977, 5587, 6151
4974, 5586, 6145
5082, 5705, 6264
5129, 5750, 6308
5127, 5733, 6287
5088, 5678, 6223
5059, 5639, 6174
5140, 5718, 6260
5121, 5693, 6227
5113, 5688, 6217
5131, 5704, 6235
5132, 5710, 6232
5132, 5703, 6228
5122, 5692, 6215
5099, 5669, 6199
5078, 5646, 6179
5073, 5636, 6164
5126, 5694, 6201
5162, 5725, 6217
5125, 5680, 6174
5069, 5617, 6103
5116, 5670, 6143
5020, 5574, 6052
4981, 5513, 5962
5044, 5574, 6023
5116, 5656, 6110
5168, 5704, 6158
5132, 5631, 6080
5133, 5626, 6065
5131, 5615, 6040
5118, 5596, 6016
5178, 5659, 6089
5201, 5679, 6105
5199, 5642, 6051
5212, 5655, 6059
5311, 5768, 6166
5305, 5764, 6155
5291, 5746, 6120
5202, 5649, 6020
5173, 5604, 5973
5098, 5520, 5878
5062, 5466, 5827
5149, 5538, 5901
5166, 5547, 5881
5060, 5438, 5770
5022, 5398, 5729
4949, 5299, 5622
4948, 5283, 5603
4995, 5319, 5628
5046, 5366, 5666
5048, 5357, 5632
5090, 5378, 5622
5028, 5311, 5568
4962, 5257, 5510
5004, 5295, 5547
5032, 5316, 5568
4996, 5267, 5501
4976, 5232, 5449
4927, 5169, 5365
4883, 5120, 5300
4902, 5127, 5285
4885, 5105, 5249
4929, 5142, 5272
4896, 5074, 5182
4816, 4990, 5088
4766, 4935, 5031
4763, 4935, 5017
4734, 4891, 4973
4610, 4753, 4828
4606, 4740, 4818
4607, 4728, 4798
4583, 4693, 4766
4465, 4568, 4650
4257, 4385, 4496
4103, 4255, 4393
3818, 4031, 4215
3594, 3838, 4055
3303, 3578, 3825
3108, 3400, 3660
3002, 3296, 3563
2731, 3017, 3288
2461, 2738, 3014
2315, 2591, 2867
2179, 2468, 2741
2094, 2377, 2649
1977, 2250, 2509
1935, 2200, 2442
1846, 2095, 2320
1801, 2032, 2249
1694, 1903, 2091
1638, 1817, 1985
1608, 1768, 1905
1449, 1580, 1702
1367, 1461, 1551
1196, 1268, 1312
797, 814, 814
764, 783, 774
703, 724, 710
652, 675, 668
637, 660, 659
636, 661, 661
630, 664, 666
628, 668, 667
707, 745, 745
699, 729, 721
676, 708, 696
682, 717, 704
716, 746, 733
676, 710, 702
614, 645, 643
634, 656, 652
628, 648, 641
636, 653, 643
666, 679, 666
683, 695, 677
694, 704, 688
672, 686, 675
615, 631, 623
582, 605, 597
603, 635, 631
662, 694, 692
696, 725, 723
688, 717, 714
696, 726, 728
701, 731, 730
700, 731, 728
706, 731, 724
686, 712, 701
677, 703, 689
685, 703, 690
698, 716, 701
715, 734, 721
708, 725, 706
642, 659, 648
590, 606, 594
542, 565, 562
574, 597, 590
606, 626, 616
601, 625, 614
649, 677, 669
658, 686, 677
695, 715, 700
696, 717, 702
677, 699, 687
666, 688, 682
654, 684, 684
639, 668, 666
569, 592, 589
568, 591, 587
637, 663, 657
734, 763, 754
759, 788, 780
736, 763, 754
711, 738, 729
777, 802, 789
740, 768, 757
707, 731, 718
707, 725, 713
717, 737, 720
805, 826, 805
788, 816, 795
811, 847, 830
787, 824, 811
743, 783, 770
705, 740, 728
731, 772, 760
757, 793, 782
782, 809, 794
800, 820, 799
791, 809, 788
734, 754, 739
743, 769, 754
765, 800, 783
730, 774, 764
706, 748, 734
694, 727, 713
729, 751, 736
736, 751, 730
689, 709, 685
650, 676, 662
648, 677, 668
631, 663, 652
629, 666, 649
640, 676, 665
647, 683, 673
675, 712, 709
720, 753, 755
747, 781, 783
769, 804, 802
837, 868, 857
828, 859, 841
818, 841, 817
801, 813, 785
769, 779, 753
752, 765, 734
703, 714, 688
679, 691, 673
678, 692, 677
683, 697, 677
677, 688, 665
724, 739, 715
752, 770, 748
713, 732, 711
719, 739, 712
749, 767, 732
774, 799, 767
792, 814, 780
779, 797, 761
756, 780, 748
713, 735, 711
684, 705, 682
711, 739, 716
681, 709, 687
678, 705, 690
711, 746, 733
728, 770, 764
716, 749, 746
708, 735, 725
734, 759, 736
752, 781, 754
735, 770, 746
700, 736, 721
722, 752, 732
729, 763, 746
711, 748, 723
715, 752, 729
727, 767, 752
707, 740, 723
703, 734, 713
719, 750, 732
700, 728, 713
644, 667, 659
713, 733, 720
687, 704, 683
646, 664, 647
613, 635, 615
651, 681, 659
647, 679, 657
702, 733, 713
727, 764, 752
713, 753, 746
727, 763, 756
695, 730, 719
679, 717, 705
716, 755, 741
738, 773, 754
657, 683, 670
605, 628, 627
600, 625, 624
556, 581, 577
556, 582, 580
574, 597, 592
594, 613, 602
631, 646, 629
658, 675, 649
687, 708, 678
683, 704, 680
704, 723, 697
722, 743, 721
709, 734, 715
661, 685, 671
679, 701, 692
689, 709, 705
680, 705, 698
645, 666, 656
618, 639, 625
628, 648, 635
677, 697, 682
727, 754, 734
733, 762, 737
735, 761, 738
670, 692, 673
638, 658, 640
656, 677, 654
700, 721, 695
730, 745, 719
687, 703, 673
672, 695, 665
652, 679, 651
689, 722, 695
700, 725, 699
659, 680, 653
655, 675, 654
695, 721, 702
736, 766, 756
752, 777, 765
695, 715, 707
651, 667, 663
647, 662, 658
675, 693, 688
613, 634, 629
688, 707, 692
809, 827, 801
